IP,region,bytes
112.34.112.167,China,831896
119.29.29.29,China,6309
153.3.237.113,China,56448
42.81.98.35,China,84392
111.63.96.157,China,86710
111.63.96.109,China,76053
180.76.76.100,China,360
111.63.96.159,China,59175
180.76.76.101,China,180
182.61.62.75,China,953
112.34.116.28,China,8118
110.242.69.93,China,10406
