# Config informations
# phase start_time end_time duration
setup 2024-04-16_12:33:53 2024-04-16_12:34:44 51
idle_local 2024-04-16_12:34:50 2024-04-16_13:04:59 1800
idle_remote 2024-04-16_13:15:44 2024-04-16_13:45:53 1800
watch_local 2024-04-16_13:47:04 2024-04-16_13:52:05 300
speak_local 2024-04-16_13:52:10 2024-04-16_13:52:26 16
watch_remote 2024-04-16_13:52:30 2024-04-16_13:57:32 300
speak_remote 2024-04-16_13:59:21 2024-04-16_13:59:33 12
update 2024-04-16_13:59:38 2024-04-16_14:00:10 32
delete 2024-04-16_14:00:13 2024-04-16_14:00:24 11
