IP,region,bytes
112.34.112.167,China,16685
119.29.29.29,China,1660
111.63.96.109,China,18851
42.81.98.35,China,28110
111.63.96.157,China,36444
180.76.76.101,China,180
182.61.62.75,China,953
111.63.96.159,China,9697
