IP,region,bytes
110.43.0.83,China,4964
120.92.65.240,China,30740
110.43.68.16,China,1622
42.157.163.171,China,1622
110.43.39.65,China,1712
110.43.87.34,China,15450
117.131.219.60,China,1650
60.29.153.35,China,67548
8.8.8.8,United States,98
