IP,region,bytes
60.29.153.35,China,1320
120.92.65.240,China,41690
110.43.87.34,China,162
8.8.8.8,United States,8428
110.43.68.16,China,23646
42.157.163.171,China,23646
110.43.39.65,China,23646
114.114.114.114,China,3136
36.156.49.114,China,148
45.124.124.97,China,74
36.156.49.83,China,74
120.92.162.194,China,74
