IP,region,bytes
42.157.163.171,China,6654
110.43.68.16,China,6372
110.43.39.65,China,6372
120.92.65.240,China,24246
117.131.219.60,China,4752
60.29.153.35,China,8692861
221.238.245.30,China,1518
8.8.8.8,United States,1470
114.114.114.114,China,490
